PIT5_7_PL3X4,PIT PH 5 UNITS 3 & 4 AGGREGATE,PIT5_7_PL3X4-APND
PNCHEG_2_PL1X4,PANOCHE ENERGY CENTER (Aggregated),PNCHEG_2_PL1X4-APND
PNCHPP_1_PL1X2,Midway Peaking Aggregate,PNCHPP_1_PL1X2-APND
PNCHVS_2_SOLAR,Panoche Valley Solar,PNCHVS_2_SOLAR-APND
PNOCHE_1_PL1X2,Panoche Peaker,PNOCHE_1_PL1X2-APND
RUSCTY_2_UNITS,Russell City Energy Center,RUSCTY_2_UNITS-APND
SALTSP_7_UNITS,SALT SPRINGS HYDRO AGGREGATE,SALTSP_7_UNITS-APND
SANTFG_7_UNITS,GEYSERS CALISTOGA AGGREGATE,SANTFG_7_UNITS-APND
SCHLTE_1_PL1X3,Tracy Combined Cycle Power Plant,SCHLTE_1_PL1X3-APND
SHELRF_1_UNITS,SHELL OIL REFINERY AGGREGATE,SHELRF_1_UNITS-APND
SPAULD_6_UNIT12,SPAULDING HYDRO PH 1 & 2 AGGREGATE,SPAULD_6_UNIT12-APND
STOILS_1_UNITS,Chevron Richmond Refinery,STOILS_1_UNITS-APND
SUNRIS_2_PL1X3,Sunrise Power Project AGGREGATE II,SUNRIS_2_PL1X3-APND
SUNSHN_2_LNDFL,Sunshine Gas Producers,SUNSHN_2_LNDFL-APND
SUTTER_2_PL1X3,SUTTER POWER PLANT AGGREGATE,SUTTER_2_PL1X3-APND
TIGRCK_7_UNITS,TIGER CREEK HYDRO AGGREGATE,TIGRCK_7_UNITS-APND
WISHON_6_UNITS,Wishon/San Joaquin  #1-A AGGREGATE,WISHON_6_UNITS-APND
CORONS_6_CLRWTR,Clearwater Power Plant,CORONS_6_CLRWTR-APND
RVSIDE_6_SPRING,SPRINGS GENERATION PROJECT AGGREGATE,RVSIDE_6_SPRING-APND
ANTLPE_2_QF,ANTELOPE QFS,ANTLPE_2_QF-APND
BIGCRK_2_EXESWD,BIG CREEK HYDRO PROJECT PSP,BIGCRK_2_EXESWD-APND
BLKCRK_2_SOLAR1,McCoy Station,BLKCRK_2_SOLAR1-APND
BLM_2_UNITS,BLM EAST Facility,BLM_2_UNITS-APND
BRODIE_2_WIND,Coram Brodie Wind Project,BRODIE_2_WIND-APND
BUCKBL_2_PL1X3,Blythe Energy Center,BUCKBL_2_PL1X3-APND
CALGEN_1_UNITS,Coso Navy 1,CALGEN_1_UNITS-APND
CENTRY_6_PL1X4,CENTURY GENERATING PLANT (AGGREGATE),CENTRY_6_PL1X4-APND
DELSUR_6_CREST,Delsur Aggregate Solar Resources,DELSUR_6_CREST-APND
DEVERS_1_QF,DEVERS QFS,DEVERS_1_QF-APND
DMDVLY_1_UNITS,DIAMOND VALLEY LAKE PUMP-GEN PLANT,DMDVLY_1_UNITS-APND
DREWS_6_PL1X4,Drews Generating Plant,DREWS_6_PL1X4-APND
DSRTSL_2_SOLAR1,Desert Stateline,DSRTSL_2_SOLAR1-APND
DSRTSN_2_SOLAR1,Desert Sunlight 300,DSRTSN_2_SOLAR1-APND
DSRTSN_2_SOLAR2,Desert Sunlight 250,DSRTSN_2_SOLAR2-APND
ELSEGN_2_UN1011,El Segundo Energy Center 5/6,ELSEGN_2_UN1011-APND
ELSEGN_2_UN2021,El Segundo Energy Center 7/8,ELSEGN_2_UN2021-APND
GENESI_2_STG,Genesis Station,GENESI_2_STG-APND
HIDSRT_2_UNITS,HIGH DESERT POWER PROJECT AGGREGATE,HIDSRT_2_UNITS-APND
KRAMER_2_SEGS89,LUZ SOLAR PARTNERS 8-9 AGGREGATE,KRAMER_2_SEGS89-APND
LEBECS_2_UNITS,Pastoria Energy Facility,LEBECS_2_UNITS-APND
MRCHNT_2_PL1X3,Desert Star Energy Center,MRCHNT_2_PL1X3-APND
NAVYII_2_UNITS,COSO POWER DEVELOPER (NAVY II) AGGREGATE,NAVYII_2_UNITS-APND
PANDOL_6_UNIT,Covanta Delano Inc.,PANDOL_6_UNIT-APND
PRIMM_2_SOLAR1,Silver State South,PRIMM_2_SOLAR1-APND
SANDLT_2_SUNITS,Mojave Solar,SANDLT_2_SUNITS-APND
SANITR_6_UNITS,LACSD CARSON WATER POLLUTION AGGREGATE,SANITR_6_UNITS-APND
SBERDO_2_PSP3,Mountainview Gen Sta. Unit 3,SBERDO_2_PSP3-APND
SBERDO_2_PSP4,Mountainview Gen Sta. Unit 4,SBERDO_2_PSP4-APND
SCEC_1_PDRP01,SCEC_1_PDRP01,SCEC_1_PDRP01-APND
SCEC_1_PDRP03,PDR-A SCEC 2,SCEC_1_PDRP03-APND
SCEC_1_PDRP15,DRC-ENO-C1-LSCE,SCEC_1_PDRP15-APND
