BLM_2_UNITS,BLM_2_UNITS,GEN,BLM EAST Facility,72,COMBUSTION TURBINE,GEOTHERMAL,SP15,CISO,SCE
,BLULKE_6_BLUELK,GEN,Blue Lake Power,12,STEAM,BIOMASS,NP15,CISO,PGAE
,BLYTHE_1_SOLAR1,GEN,Blythe Solar 1 Project,21,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BLYTHE_1_SOLAR2,GEN,Blythe Green 1,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BNNIEN_7_ALTAPH,GEN,ALTA POWER HOUSE,1,HYDRO,WATER,NP15,CISO,PGAE
,BOGUE_1_UNITA1,GEN,Feather River Energy Center Unit #1,47.6,COMBUSTION TURBINE,NATURAL GAS,NP15,CISO,PGAE
,BORDER_6_UNITA1,GEN,CalPeak Power Border Unit 1,51.25,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,SDGE
,BOWMN_6_HYDRO,GEN,NID Hydro Bowman Powerhouse,3.6,HYDRO,WATER,NP15,CISO,PGAE
,BRDGVL_7_BAKER,GEN,Baker Station Hydro,1.49,HYDRO,WATER,NP15,CISO,PGAE
,BRDSLD_2_HIWIND,GEN,High Winds Energy Center,162,WIND,WIND,NP15,CISO,PGAE
,BRDSLD_2_MTZUM2,GEN,NextEra Energy Montezuma Wind II,78.2,WIND,WIND,NP15,CISO,PGAE
,BRDSLD_2_MTZUMA,GEN,FPL Energy Montezuma Wind,36.8,WIND,WIND,NP15,CISO,PGAE
,BRDSLD_2_SHILO1,GEN,Shiloh I Wind Project,150,WIND,WIND,NP15,CISO,PGAE
,BRDSLD_2_SHILO2,GEN,SHILOH WIND PROJECT 2,150,WIND,WIND,NP15,CISO,PGAE
,BRDSLD_2_SHLO3A,GEN,Shiloh III Wind Project LLC,102.5,WIND,WIND,NP15,CISO,PGAE
,BRDSLD_2_SHLO3B,GEN,Shiloh IV Wind Project,100,WIND,WIND,NP15,CISO,PGAE
ANTLPE_2_QF,BREEZE_6_QF,GEN,BREEZE_6_QF,8,,,SP15,CISO,
,BREGGO_6_DEGRSL,GEN,Desert Green Solar Farm,6.3,PHOTO VOLTAIC,SUN,SP15,CISO,SDGE
,BREGGO_6_SOLAR,GEN,NRG Borrego Solar One,26,PHOTO VOLTAIC,SUN,SP15,CISO,SDGE
BRODIE_2_WIND,BRODIE_2_WIND,GEN,Coram Brodie Wind Project,102,WIND,WIND,SP15,CISO,SCE
BRODIE_2_WIND,BRODIE_2_WIND1,GEN,Coram Brodie Wind Project Cameron Ridge,78,WIND,WIND,SP15,CISO,
BRODIE_2_WIND,BRODIE_2_WIND2,GEN,Coram Brodie Wind Project Section 15,24,WIND,WIND,SP15,CISO,
